Task,Phase,Area,Priority,Owner,EstimateDays,Dependency,Status,Definition of Done
"Prepare schema discovery session protocol","Phase 4","Ops","P0","Khalid",0.5,"None","Not Started","Checklist and access prerequisites complete"
"Execute discover-schema and capture artifact","Phase 4","Backend","P0","Khalid",0.5,"Prepare schema discovery session protocol","Not Started","Signed schema JSON stored and reviewed"
"Update sync mapper using discovered schema","Phase 4","Backend","P0","Eng",1,"Execute discover-schema and capture artifact","Not Started","No hardcoded assumptions remain"
"Run sync dry-run and parity comparison","Phase 4","QA","P0","Eng",0.5,"Update sync mapper using discovered schema","Not Started","Row-count and key field parity confirmed"
"Finalize installer signing pipeline","Phase 4","DevOps","P0","Eng",1,"None","Not Started","Installer signing passes in tagged CI release"
"Run pilot machine install + reboot validation","Phase 4","Desktop","P0","Khalid",0.5,"Finalize installer signing pipeline","Not Started","Service starts on boot and heartbeat observed"
"Document installation and rollback SOP","Phase 4","Ops","P1","Khalid",0.5,"Run pilot machine install + reboot validation","Not Started","SOP published and rehearsed once"
"Define Tailwind tokens and design primitives","Phase 5","Frontend","P0","Design/Eng",0.5,"None","Not Started","Token set adopted by components"
"Build core reusable component library","Phase 5","Frontend","P0","Eng",1.5,"Define Tailwind tokens and design primitives","Not Started","Primary components implemented with variants"
"Redesign dashboard information hierarchy","Phase 5","Frontend","P0","Eng",1,"Build core reusable component library","Not Started","Dashboard readability meets UX target"
"Rebuild balances/patient AR/estimate/analytics/admin views","Phase 5","Frontend","P0","Eng",2,"Build core reusable component library","Not Started","All primary views migrated and functional"
"Implement dark mode and contrast validation","Phase 5","Frontend","P1","Eng",0.5,"Redesign dashboard information hierarchy","Not Started","Dark mode parity achieved across views"
"Publish Storybook component docs","Phase 5","Frontend","P1","Eng",0.5,"Build core reusable component library","Not Started","Storybook includes usage and state coverage"
"Run UX review and iteration pass","Phase 5","Product","P1","Khalid",0.5,"Rebuild balances/patient AR/estimate/analytics/admin views","Not Started","Pilot stakeholder feedback integrated"
"Define pilot KPI formulas and scorecard","Phase 6","Product","P0","Khalid",0.5,"None","Not Started","KPI definitions locked and documented"
"Implement pilot telemetry events","Phase 6","Backend","P0","Eng",1,"None","Not Started","Events emitted for calls, blocks, outcomes, payments"
"Build weekly pilot reporting pipeline","Phase 6","Analytics","P1","Eng",0.5,"Implement pilot telemetry events","Not Started","Weekly report generated automatically"
"Execute go-live checklist and day-1 on-call","Phase 6","Ops","P0","Khalid",0.5,"Define pilot KPI formulas and scorecard","Not Started","Day-1 pilot operations stable and logged"
"Run day-30 and day-60 checkpoint reviews","Phase 6","Product","P0","Khalid",1,"Execute go-live checklist and day-1 on-call","Not Started","Checkpoint decisions recorded with evidence"
"Compile day-90 validation and pricing memo","Phase 6","Product","P0","Khalid",1,"Run day-30 and day-60 checkpoint reviews","Not Started","Final proceed/pivot decision package delivered"
"Record Day-90 expansion gate decision (`scale`/`hold`/`pivot`)","Phase 6","Product","P0","Khalid",0.25,"Compile day-90 validation and pricing memo","Not Started","Decision logged and communicated before any multi-practice tasks begin"
