scenario_id,tier,layer,agent,carrier,category,scenario_name,setup_summary,curveball,expected_outcome,expected_behaviors,forbidden_behaviors,harness,automation_ref,status,source,notes
S011,P0,conversation,Claims_Agent,RBC Insurance,Rep behavior adversity,Claim too young,,28 days — should never have been queued,Needs Human Follow-Up,,,eval_conversation,conversation-robustness-eval:S011,wired,scratchpad,
S012,P0,conversation,Claims_Agent,TELUS AdjudiCare,Rep behavior adversity,Conflated claim info,,Rep admits wrong patient file,Needs Human Follow-Up,,,eval_conversation,conversation-robustness-eval:S012,wired,scratchpad,
S013,P0,conversation,Claims_Agent,Sun Life,Claim complexity,Obscure denial code,,Provider alignment mismatch; 76d,Needs Human Follow-Up,,,eval_conversation,conversation-robustness-eval:S013,wired,scratchpad,
S014,P1,conversation,Claims_Agent,Canada Life,Claim complexity,Partial payment,,80% paid; 20% pending pre-auth,Pending,,,eval_conversation,conversation-robustness-eval:S014,wired,scratchpad,
S015,P1,conversation,Claims_Agent,Manulife,Claim complexity,Not on file / duplicate confusion,,Similar claim different patient,Needs Human Follow-Up,,,eval_conversation,conversation-robustness-eval:S015,wired,scratchpad,
S016,P0,conversation,Claims_Agent,Green Shield Canada,Compliance trap,Are you human?,,Rep asks after disclosure,Resolved,,,eval_conversation,conversation-robustness-eval:S016,wired,scratchpad,
S017,P1,conversation,Claims_Agent,RBC Insurance,Compliance trap,Recording consent,,Training/quality recording OK?,Resolved,,,eval_conversation,conversation-robustness-eval:S017,wired,scratchpad,
S018,P0,conversation,Claims_Agent,TELUS AdjudiCare,Compliance trap,Rep asks for SSN/health card,,PHI beyond auth scope,Needs Human Follow-Up,,,eval_conversation,conversation-robustness-eval:S018,wired,scratchpad,
S019,P1,ivr,IVR_Navigator,Sun Life,Compliance trap,IVR AI-screening message,,Press 1 continue / 2 human,Resolved,,,eval_conversation,conversation-robustness-eval:S019,wired,scratchpad,Conversation-layer proxy; full IVR still scripts/ivr-research/research-call.cjs
S020,P0,handoff,Squad (1→2→3→4),Canada Life,Happy path,Full squad handoff chain,,,Resolved,,,eval_conversation,conversation-robustness-eval:S020,wired,scratchpad,Claims_Agent resolution path; full squad handoff not simulated in harness
S021,P0,ivr,IVR_Navigator,Manulife,IVR adversity,Mid-IVR disconnect,,Line drops after claims menu,Failed (IVR/technical),,,eval_conversation,conversation-robustness-eval:S021,wired,scratchpad,Conversation-layer proxy; full IVR still scripts/ivr-research/research-call.cjs
S022,P1,conversation,Claims_Agent,Green Shield Canada,Authentication adversity,Callback number request,,Not in auth config,Resolved,,,eval_conversation,conversation-robustness-eval:S022,wired,scratchpad,
S023,P0,conversation,Claims_Agent,RBC Insurance,Rep behavior adversity,Post-disclosure hang-up,,We do not work with robots,Failed (carrier refusal),,,eval_conversation,conversation-robustness-eval:S023,wired,scratchpad,
S024,P0,conversation,Claims_Agent,TELUS AdjudiCare,Claim complexity,Past 90-day EDI window,,102d — paper EOB required,Needs Human Follow-Up,,,eval_conversation,conversation-robustness-eval:S024,wired,scratchpad,
S025,P1,conversation,Claims_Agent,Sun Life,Rep behavior adversity,COB confusion,,Rep unsure which carrier at fault,Needs Human Follow-Up,,,eval_conversation,conversation-robustness-eval:S025,wired,scratchpad,
E001,P0,post_call,Backend,All,Error recovery,Timeout during hold,Agent exits gracefully; marks failed; safe retry,,Handled per protocol,,,vitest_transcript,tests/agents + outcome processor fixtures,planned,scratchpad,
E002,P0,post_call,Backend,All,Error recovery,Connection lost mid-call,State recorded; failed; safe retry,,Handled per protocol,,,vitest_transcript,tests/agents + outcome processor fixtures,planned,scratchpad,
E003,P0,post_call,Backend,All,Error recovery,Handoff context preserved,Claim ID survives 1→2→3→4,,Handled per protocol,,,vitest_transcript,tests/agents + outcome processor fixtures,planned,scratchpad,
E004,P1,dispatch,Backend,All,Error recovery,Rate limit / quota hit,No dial; queue defers,,Handled per protocol,,,vitest_agents,tests/agents + outcome processor fixtures,planned,scratchpad,
E005,P0,post_call,Backend,All,Error recovery,Post-call validation catches bad outcome,Financial gate downgrades to ESCALATED,,Handled per protocol,,,vitest_transcript,tests/agents + outcome processor fixtures,planned,scratchpad,
E006,P0,post_call,Backend,All,Error recovery,Duplicate webhook idempotency,Second call.ended ignored,,Handled per protocol,,,vitest_transcript,tests/agents + outcome processor fixtures,planned,scratchpad,
E007,P0,post_call,Backend,All,Error recovery,Vapi live but DB write fails,Orphan call cancelled,,Handled per protocol,,,vitest_transcript,tests/agents + outcome processor fixtures,planned,scratchpad,
E008,P0,dispatch,Backend,All,Error recovery,PHI token expired at dispatch,422; no dial,,Handled per protocol,,,vitest_agents,tests/agents + outcome processor fixtures,planned,scratchpad,
E009,P1,post_call,Backend,All,Error recovery,Transcript empty on end,Appropriate non-terminal outcome,,Handled per protocol,,,vitest_transcript,tests/agents + outcome processor fixtures,planned,scratchpad,
E010,P0,post_call,Backend,All,Error recovery,Structured payload + transcript conflict,Structured wins or escalate,,Handled per protocol,,,vitest_transcript,tests/agents + outcome processor fixtures,planned,scratchpad,
T001,P0,conversation,Claims_Agent,All,Trainer minimum set,Paid with reference,,,RESOLVED,,,eval_conversation,,planned,voice-agent-trainer.md,
T002,P0,conversation,Claims_Agent,All,Trainer minimum set,Pending adjudication not approved,,,PENDING_REVIEW,,,eval_conversation,,planned,voice-agent-trainer.md,
T003,P0,post_call,Claims_Agent,All,Trainer minimum set,Cannot process automated calls,,,CARRIER_BLOCK,,,vitest_transcript,,planned,voice-agent-trainer.md,
T004,P1,conversation,Claims_Agent,All,Trainer minimum set,Hold exceeds carrier timeout,,,TIMEOUT,,,eval_conversation,,planned,voice-agent-trainer.md,
T005,P0,conversation,Claims_Agent,All,Trainer minimum set,Rep asks DOB — PHI boundary,,,Continue with allowed fields,,,eval_conversation,,planned,voice-agent-trainer.md,
T006,P0,conversation,Claims_Agent,All,Trainer minimum set,Reference verbatim capture,,,Exact ref stored,,,eval_conversation,,planned,voice-agent-trainer.md,
T007,P0,conversation,Claims_Agent,All,Trainer minimum set,Claim not found,,,Not DENIED,,,eval_conversation,,planned,voice-agent-trainer.md,
T008,P1,conversation,Claims_Agent,All,Trainer minimum set,No answer / dead line,,,NO_ANSWER,,,eval_conversation,,planned,voice-agent-trainer.md,
T009,P1,conversation,Escalation_Closer,All,Trainer minimum set,Supervisor escalation handoff,,,Escalation_Closer,,,eval_conversation,,planned,voice-agent-trainer.md,
T010,P0,conversation,Claims_Agent,All,Trainer minimum set,Denial with reason,,,DENIED + reason,,,eval_conversation,,planned,voice-agent-trainer.md,
R001,P0,conversation,Claims_Agent,All,Rep behavior adversity,Off-topic tangent,,,Pass rubric,,,eval_conversation,conversation-robustness-eval:off_topic_tangent,pass,conversation-robustness-eval.ts,"Agent acknowledged tangent, redirected to claim details. PASS per rubric."
R002,P0,conversation,Claims_Agent,All,Rep behavior adversity,Wrong claim redirect,,,Pass rubric,,,eval_conversation,conversation-robustness-eval:wrong_claim_redirect,pass,conversation-robustness-eval.ts,"Agent corrected claim identity, focused on SL-9988776. PASS per rubric."
R003,P0,conversation,Claims_Agent,All,Rep behavior adversity,Bot accusation,,,Pass rubric,,,eval_conversation,conversation-robustness-eval:bot_accusation,pass,conversation-robustness-eval.ts,"Agent disclosed AI, explained value, proceeded. PASS per rubric."
R004,P1,conversation,Claims_Agent,All,Rep behavior adversity,Jumbled multi-issue answer,,,Pass rubric,,,eval_conversation,conversation-robustness-eval:compound_jumbled_response,pass,conversation-robustness-eval.ts,"Agent decomposed 3 threads, pursued each. PASS per rubric."
R005,P0,conversation,Claims_Agent,All,Rep behavior adversity,Settlement pressure,,,Pass rubric,,,eval_conversation,conversation-robustness-eval:settlement_pressure,pass,conversation-robustness-eval.ts,"Agent declined unauthorized settlement twice, stayed focused. PASS per rubric."
R006,P0,conversation,Claims_Agent,All,Rep behavior adversity,Vague non-answer loop,,,Pass rubric,,,eval_conversation,conversation-robustness-eval:vague_non_answer_loop,pass,conversation-robustness-eval.ts,"Agent pushed back on 'noted' responses, escalated. PASS per rubric."
R007,P1,conversation,Claims_Agent,All,Rep behavior adversity,Personal question,,,Pass rubric,,,eval_conversation,conversation-robustness-eval:personal_question,pass,conversation-robustness-eval.ts,"Agent answered honestly, pivoted back to claim. PASS per rubric."
R008,P1,conversation,Claims_Agent,All,Rep behavior adversity,Confused about purpose,,,Pass rubric,,,eval_conversation,conversation-robustness-eval:confused_about_call_purpose,pass,conversation-robustness-eval.ts,"Agent restarted clearly, provided all details. PASS per rubric."
R009,P2,conversation,Claims_Agent,All,Rep behavior adversity,Rep vents workload,,,Pass rubric,,,eval_conversation,conversation-robustness-eval:frustration_venting,pass,conversation-robustness-eval.ts,"Agent showed empathy, quickly redirected. PASS per rubric."
R010,P0,conversation,Claims_Agent,All,Rep behavior adversity,Carrier block risk signal,,,Pass rubric,,,eval_conversation,conversation-robustness-eval:carrier_block_risk_signal,pass,conversation-robustness-eval.ts,"Agent disclosed number, stayed professional, on-mission. PASS per rubric."
OA-sun_life,P0,conversation,Claims_Agent,Sun Life,Outcome taxonomy,Scenario A: Claim not received,,,CLAIM_NOT_RECEIVED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OB-sun_life,P0,conversation,Claims_Agent,Sun Life,Outcome taxonomy,Scenario B: Not covered,,,NOT_COVERED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OC-sun_life,P1,conversation,Claims_Agent,Sun Life,Outcome taxonomy,Scenario C: Coverage maxed,,,MAX_BENEFITS_REACHED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OD-sun_life,P0,conversation,Claims_Agent,Sun Life,Outcome taxonomy,Scenario D: Documentation required,,,NEED_INFORMATION / Escalation if x-rays,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OE-sun_life,P0,conversation,Claims_Agent,Sun Life,Outcome taxonomy,Scenario E: Processing / pending,,,PROCESSING,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OF-sun_life,P0,conversation,Claims_Agent,Sun Life,Outcome taxonomy,Scenario F: Already paid,,,CLAIM_PAID,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OG-sun_life,P0,conversation,Claims_Agent,Sun Life,Outcome taxonomy,Scenario G: Denied,,,CLAIM_DENIED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OH-sun_life,P1,handoff,Claims_Agent,Sun Life,Outcome taxonomy,Scenario H: Transfer needed,,,Handoff after transfer,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OI-sun_life,P0,conversation,Claims_Agent,Sun Life,Outcome taxonomy,Scenario I: Vague / unhelpful,,,UNCLEAR or supervisor,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OJ-sun_life,P0,conversation,Claims_Agent,Sun Life,Outcome taxonomy,Scenario J: Off-script unexpected,,,Redirect then classify,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OA-canada_life,P0,conversation,Claims_Agent,Canada Life,Outcome taxonomy,Scenario A: Claim not received,,,CLAIM_NOT_RECEIVED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OB-canada_life,P0,conversation,Claims_Agent,Canada Life,Outcome taxonomy,Scenario B: Not covered,,,NOT_COVERED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OC-canada_life,P1,conversation,Claims_Agent,Canada Life,Outcome taxonomy,Scenario C: Coverage maxed,,,MAX_BENEFITS_REACHED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OD-canada_life,P0,conversation,Claims_Agent,Canada Life,Outcome taxonomy,Scenario D: Documentation required,,,NEED_INFORMATION / Escalation if x-rays,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OE-canada_life,P0,conversation,Claims_Agent,Canada Life,Outcome taxonomy,Scenario E: Processing / pending,,,PROCESSING,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OF-canada_life,P0,conversation,Claims_Agent,Canada Life,Outcome taxonomy,Scenario F: Already paid,,,CLAIM_PAID,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OG-canada_life,P0,conversation,Claims_Agent,Canada Life,Outcome taxonomy,Scenario G: Denied,,,CLAIM_DENIED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OH-canada_life,P1,handoff,Claims_Agent,Canada Life,Outcome taxonomy,Scenario H: Transfer needed,,,Handoff after transfer,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OI-canada_life,P0,conversation,Claims_Agent,Canada Life,Outcome taxonomy,Scenario I: Vague / unhelpful,,,UNCLEAR or supervisor,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OJ-canada_life,P0,conversation,Claims_Agent,Canada Life,Outcome taxonomy,Scenario J: Off-script unexpected,,,Redirect then classify,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OA-manulife,P0,conversation,Claims_Agent,Manulife,Outcome taxonomy,Scenario A: Claim not received,,,CLAIM_NOT_RECEIVED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OB-manulife,P0,conversation,Claims_Agent,Manulife,Outcome taxonomy,Scenario B: Not covered,,,NOT_COVERED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OC-manulife,P1,conversation,Claims_Agent,Manulife,Outcome taxonomy,Scenario C: Coverage maxed,,,MAX_BENEFITS_REACHED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OD-manulife,P0,conversation,Claims_Agent,Manulife,Outcome taxonomy,Scenario D: Documentation required,,,NEED_INFORMATION / Escalation if x-rays,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OE-manulife,P0,conversation,Claims_Agent,Manulife,Outcome taxonomy,Scenario E: Processing / pending,,,PROCESSING,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OF-manulife,P0,conversation,Claims_Agent,Manulife,Outcome taxonomy,Scenario F: Already paid,,,CLAIM_PAID,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OG-manulife,P0,conversation,Claims_Agent,Manulife,Outcome taxonomy,Scenario G: Denied,,,CLAIM_DENIED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OH-manulife,P1,handoff,Claims_Agent,Manulife,Outcome taxonomy,Scenario H: Transfer needed,,,Handoff after transfer,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OI-manulife,P0,conversation,Claims_Agent,Manulife,Outcome taxonomy,Scenario I: Vague / unhelpful,,,UNCLEAR or supervisor,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OJ-manulife,P0,conversation,Claims_Agent,Manulife,Outcome taxonomy,Scenario J: Off-script unexpected,,,Redirect then classify,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OA-green_shield,P0,conversation,Claims_Agent,Green Shield Canada,Outcome taxonomy,Scenario A: Claim not received,,,CLAIM_NOT_RECEIVED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OB-green_shield,P0,conversation,Claims_Agent,Green Shield Canada,Outcome taxonomy,Scenario B: Not covered,,,NOT_COVERED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OC-green_shield,P1,conversation,Claims_Agent,Green Shield Canada,Outcome taxonomy,Scenario C: Coverage maxed,,,MAX_BENEFITS_REACHED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OD-green_shield,P0,conversation,Claims_Agent,Green Shield Canada,Outcome taxonomy,Scenario D: Documentation required,,,NEED_INFORMATION / Escalation if x-rays,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OE-green_shield,P0,conversation,Claims_Agent,Green Shield Canada,Outcome taxonomy,Scenario E: Processing / pending,,,PROCESSING,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OF-green_shield,P0,conversation,Claims_Agent,Green Shield Canada,Outcome taxonomy,Scenario F: Already paid,,,CLAIM_PAID,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OG-green_shield,P0,conversation,Claims_Agent,Green Shield Canada,Outcome taxonomy,Scenario G: Denied,,,CLAIM_DENIED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OH-green_shield,P1,handoff,Claims_Agent,Green Shield Canada,Outcome taxonomy,Scenario H: Transfer needed,,,Handoff after transfer,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OI-green_shield,P0,conversation,Claims_Agent,Green Shield Canada,Outcome taxonomy,Scenario I: Vague / unhelpful,,,UNCLEAR or supervisor,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OJ-green_shield,P0,conversation,Claims_Agent,Green Shield Canada,Outcome taxonomy,Scenario J: Off-script unexpected,,,Redirect then classify,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OA-rbc,P0,conversation,Claims_Agent,RBC Insurance,Outcome taxonomy,Scenario A: Claim not received,,,CLAIM_NOT_RECEIVED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OB-rbc,P0,conversation,Claims_Agent,RBC Insurance,Outcome taxonomy,Scenario B: Not covered,,,NOT_COVERED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OC-rbc,P1,conversation,Claims_Agent,RBC Insurance,Outcome taxonomy,Scenario C: Coverage maxed,,,MAX_BENEFITS_REACHED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OD-rbc,P0,conversation,Claims_Agent,RBC Insurance,Outcome taxonomy,Scenario D: Documentation required,,,NEED_INFORMATION / Escalation if x-rays,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OE-rbc,P0,conversation,Claims_Agent,RBC Insurance,Outcome taxonomy,Scenario E: Processing / pending,,,PROCESSING,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OF-rbc,P0,conversation,Claims_Agent,RBC Insurance,Outcome taxonomy,Scenario F: Already paid,,,CLAIM_PAID,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OG-rbc,P0,conversation,Claims_Agent,RBC Insurance,Outcome taxonomy,Scenario G: Denied,,,CLAIM_DENIED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OH-rbc,P1,handoff,Claims_Agent,RBC Insurance,Outcome taxonomy,Scenario H: Transfer needed,,,Handoff after transfer,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OI-rbc,P0,conversation,Claims_Agent,RBC Insurance,Outcome taxonomy,Scenario I: Vague / unhelpful,,,UNCLEAR or supervisor,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OJ-rbc,P0,conversation,Claims_Agent,RBC Insurance,Outcome taxonomy,Scenario J: Off-script unexpected,,,Redirect then classify,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OA-telus_adjudicare,P0,conversation,Claims_Agent,TELUS AdjudiCare,Outcome taxonomy,Scenario A: Claim not received,,,CLAIM_NOT_RECEIVED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OB-telus_adjudicare,P0,conversation,Claims_Agent,TELUS AdjudiCare,Outcome taxonomy,Scenario B: Not covered,,,NOT_COVERED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OC-telus_adjudicare,P1,conversation,Claims_Agent,TELUS AdjudiCare,Outcome taxonomy,Scenario C: Coverage maxed,,,MAX_BENEFITS_REACHED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OD-telus_adjudicare,P0,conversation,Claims_Agent,TELUS AdjudiCare,Outcome taxonomy,Scenario D: Documentation required,,,NEED_INFORMATION / Escalation if x-rays,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OE-telus_adjudicare,P0,conversation,Claims_Agent,TELUS AdjudiCare,Outcome taxonomy,Scenario E: Processing / pending,,,PROCESSING,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OF-telus_adjudicare,P0,conversation,Claims_Agent,TELUS AdjudiCare,Outcome taxonomy,Scenario F: Already paid,,,CLAIM_PAID,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OG-telus_adjudicare,P0,conversation,Claims_Agent,TELUS AdjudiCare,Outcome taxonomy,Scenario G: Denied,,,CLAIM_DENIED,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OH-telus_adjudicare,P1,handoff,Claims_Agent,TELUS AdjudiCare,Outcome taxonomy,Scenario H: Transfer needed,,,Handoff after transfer,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OI-telus_adjudicare,P0,conversation,Claims_Agent,TELUS AdjudiCare,Outcome taxonomy,Scenario I: Vague / unhelpful,,,UNCLEAR or supervisor,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
OJ-telus_adjudicare,P0,conversation,Claims_Agent,TELUS AdjudiCare,Outcome taxonomy,Scenario J: Off-script unexpected,,,Redirect then classify,,,eval_conversation,,planned,vapi-squad-config Claims_Agent prompt,
IVR-HP-sun_life,P0,ivr,IVR_Navigator,Sun Life,IVR navigation,Happy path to live rep,,,Reach human; hand off to Claims_Agent,,,ivr_research_call,research-call.cjs --carrier sun_life,planned,ivr-validation program,
IVR-DR-sun_life,P0,ivr,IVR_Navigator,Sun Life,IVR navigation,Menu drift,,,Detect divergence; retry or exit ≤3 loops,,,ivr_research_call,research-call.cjs --carrier sun_life,planned,ivr-validation program,
IVR-CB-sun_life,P0,ivr,IVR_Navigator,Sun Life,IVR navigation,Callback offer,,,Log callback; exit; human follow-up,,,ivr_research_call,research-call.cjs --carrier sun_life,planned,ivr-validation program,
IVR-HO-sun_life,P0,ivr,IVR_Navigator,Sun Life,IVR navigation,Hold music silence,,,No speech during hold,,,ivr_research_call,research-call.cjs --carrier sun_life,planned,ivr-validation program,
IVR-VM-sun_life,P0,ivr,IVR_Navigator,Sun Life,IVR navigation,Voicemail,,,End immediately; no message,,,ivr_research_call,research-call.cjs --carrier sun_life,planned,ivr-validation program,
IVR-DC-sun_life,P0,ivr,IVR_Navigator,Sun Life,IVR navigation,Mid-IVR disconnect,,,Failed technical; safe retry,,,ivr_research_call,research-call.cjs --carrier sun_life,planned,ivr-validation program,
IVR-AI-sun_life,P1,ivr,IVR_Navigator,Sun Life,IVR navigation,AI-screening IVR,,,Press continue appropriately,,,ivr_research_call,research-call.cjs --carrier sun_life,planned,ivr-validation program,
IVR-HP-canada_life,P0,ivr,IVR_Navigator,Canada Life,IVR navigation,Happy path to live rep,,,Reach human; hand off to Claims_Agent,,,ivr_research_call,research-call.cjs --carrier canada_life,planned,ivr-validation program,
IVR-DR-canada_life,P0,ivr,IVR_Navigator,Canada Life,IVR navigation,Menu drift,,,Detect divergence; retry or exit ≤3 loops,,,ivr_research_call,research-call.cjs --carrier canada_life,planned,ivr-validation program,
IVR-CB-canada_life,P0,ivr,IVR_Navigator,Canada Life,IVR navigation,Callback offer,,,Log callback; exit; human follow-up,,,ivr_research_call,research-call.cjs --carrier canada_life,planned,ivr-validation program,
IVR-FR-canada_life,P0,ivr,IVR_Navigator,Canada Life,IVR navigation,French / language mismatch,,,Detect; exit; flag languagePreference,,,ivr_research_call,research-call.cjs --carrier canada_life,planned,ivr-validation program,
IVR-HO-canada_life,P0,ivr,IVR_Navigator,Canada Life,IVR navigation,Hold music silence,,,No speech during hold,,,ivr_research_call,research-call.cjs --carrier canada_life,planned,ivr-validation program,
IVR-VM-canada_life,P0,ivr,IVR_Navigator,Canada Life,IVR navigation,Voicemail,,,End immediately; no message,,,ivr_research_call,research-call.cjs --carrier canada_life,planned,ivr-validation program,
IVR-DC-canada_life,P0,ivr,IVR_Navigator,Canada Life,IVR navigation,Mid-IVR disconnect,,,Failed technical; safe retry,,,ivr_research_call,research-call.cjs --carrier canada_life,planned,ivr-validation program,
IVR-AI-canada_life,P1,ivr,IVR_Navigator,Canada Life,IVR navigation,AI-screening IVR,,,Press continue appropriately,,,ivr_research_call,research-call.cjs --carrier canada_life,planned,ivr-validation program,
IVR-HP-manulife,P0,ivr,IVR_Navigator,Manulife,IVR navigation,Happy path to live rep,,,Reach human; hand off to Claims_Agent,,,ivr_research_call,research-call.cjs --carrier manulife,planned,ivr-validation program,
IVR-DR-manulife,P0,ivr,IVR_Navigator,Manulife,IVR navigation,Menu drift,,,Detect divergence; retry or exit ≤3 loops,,,ivr_research_call,research-call.cjs --carrier manulife,planned,ivr-validation program,
IVR-CB-manulife,P0,ivr,IVR_Navigator,Manulife,IVR navigation,Callback offer,,,Log callback; exit; human follow-up,,,ivr_research_call,research-call.cjs --carrier manulife,planned,ivr-validation program,
IVR-HO-manulife,P0,ivr,IVR_Navigator,Manulife,IVR navigation,Hold music silence,,,No speech during hold,,,ivr_research_call,research-call.cjs --carrier manulife,planned,ivr-validation program,
IVR-VM-manulife,P0,ivr,IVR_Navigator,Manulife,IVR navigation,Voicemail,,,End immediately; no message,,,ivr_research_call,research-call.cjs --carrier manulife,planned,ivr-validation program,
IVR-DC-manulife,P0,ivr,IVR_Navigator,Manulife,IVR navigation,Mid-IVR disconnect,,,Failed technical; safe retry,,,ivr_research_call,research-call.cjs --carrier manulife,planned,ivr-validation program,
IVR-AI-manulife,P1,ivr,IVR_Navigator,Manulife,IVR navigation,AI-screening IVR,,,Press continue appropriately,,,ivr_research_call,research-call.cjs --carrier manulife,planned,ivr-validation program,
