Practice Name,Owner / Principal (likely),Dentists on staff,Address,City,Postal Code,Segment,Suggested Tier,General Email (to enrich),Outreach Status
JunctionWest Dental,Dr. Venus Sobhi,"Dr. Venus Sobhi, Dr. Rojia Rezania, Dr. Marwah Aldahhan, Dr. Mo Al-naqeeb",2902 Dundas Street West,Toronto,M6P 1Y8,Group,Growth,,
Urbanview Dental,Dr. Sara Shayan,"Dr. Sara Shayan, Dr. Alida Andersen, Dr. Tae Kyum Nah, Dr. Amanjot Singh",700 Bay Street Unit 2,Toronto,M5G 1Z6,Group,Growth,,
The Richmond Dental Centre,Dr. Katherine Park,"Dr. Katherine Park, Dr. Christina Zografos, Dr. Parshin Edraki, Dr. Aisha Hashmani",294 Richmond St. East Suite 101,Toronto,M5A 1P5,Group,Growth,,
Dental Studio on Wellesley,Dr. Oranous Sobhi,"Dr. Oranous Sobhi, Dr. Venus Sobhi",10 Wellesley Street East,Toronto,M4Y 3B2,Prime,Core,,
Parkview Dental,Dr. Hammad Afif,"Dr. Hammad Afif, Dr. Emilie Vo, Dr. Jessica Sze Wan Chau, Dr. Sindy Ha, Dr. Shafak Joyia, Dr. Parisa Parhami, Dr. Amanjot Singh",600 Fleet St,Toronto,M5V 1B7,Group,Scale,,
Dakota Dental,Dr. Fatemeh Hosseinkhani,"Dr. Fatemeh Hosseinkhani, Dr. Farzaneh Khanzadeh",215a Davenport Road,Toronto,M5R 1J3,Prime,Core,,
Yonge & Merton Dental,Dr. Victoria Ngo,Dr. Victoria Ngo,1835 Yonge Street Suite 301,Toronto,M4S 1X8,Prime,Core,,
Archer Dental Baby Point,Dr. Natalie Archer,"Dr. Natalie Archer, Dr. Sanjay Khoosal, Dr. Anastasiya Valiushka",387 Jane Street,Toronto,M6S 3Z3,Group (multi-loc),Scale,,
Dynamic Dental,Dr. Arpita Thakkar,Dr. Arpita Thakkar,2225 Markham Road Suite 101,Toronto,M1B 2W4,Prime,Core,,
Orion Dental - Scarborough,Dr. Fahimay Naqvi,"Dr. Fahimay Naqvi, Dr. Hajer Al-Tayeb, Dr. Farzaneh Khanzadeh, Dr. Leily Najafisalehi, Dr. Farah Parveez",520 Ellesmere Road Unit 105,Toronto,M1R 0B1,Group,Growth,,
Ellesmere Dental,Dr. Abolfazl Ghorbani,"Dr. Abolfazl Ghorbani, Dr. Malkit Brach, Dr. Ryan Margel, Dr. Zeeshan Hemraj, Dr. Rony Luka, Dr. Ramesh Agrawal, Dr. Benjamin Edelstein, Dr. Lola Ivanisevic",1401 Ellesmere Road Suite 101,Toronto,M1P 4R4,Group,Scale,,
Art of Smile Dentistry - Yonge & Eglinton,Dr. Hermina Battaglin,Dr. Hermina Battaglin,2527 Yonge Street,Toronto,M4P 2H9,Prime,Core,,
Smiles Plus Dental Centre,Dr. Golnaz Basseri,"Dr. Golnaz Basseri, Dr. Parisa Hedayatmofidi",894 Logan Avenue,Toronto,M4K 1P1,Prime,Core,,
Smiles on Lawrence Dental,Dr. So Young Lee,Dr. So Young Lee,960 Lawrence Avenue West,Toronto,M6A 3B6,Prime,Core,,
Dentistry on Finch,Dr. Marlo Galler,Dr. Marlo Galler,3443 Finch Avenue East #206,Toronto,M1W 2S1,Prime,Core,,
Dufferin Family Dentistry,Dr. Rajesh Arora,"Dr. Rajesh Arora, Dr. Deepinder Singh, Dr. Rohtash Kapoor, Dr. Karishma Phutela, Dr. Amit Mendiratta, Dr. Uday Dangi",2437 Dufferin Street,Toronto,M6E 0B5,Group,Growth,,
Downsview Dental Arts,Dr. Mike Capocci,"Dr. Mike Capocci, Dr. Vanessa Cheung",549 Wilson Heights Boulevard,Toronto,M3H,Prime,Core,,
Woodbine & Danforth Dental Care,Dr. Samira Hossain,Dr. Samira Hossain,2107 Danforth Avenue,Toronto,M4C 1K1,Prime,Core,,
Mint 32 Dentistry,Dr. Kimberly Yu,"Dr. Kimberly Yu, Dr. Annie Liu",12 Park Home Avenue,Toronto,M2N 6L9,Prime,Core,,
Sauga Smiles Dental,Dr. Rohit Khurana,"Dr. Rohit Khurana, Dr. Aanchal Khurana",800 Burnhamthorpe Road West Unit 1,Mississauga,L5C 2R9,Prime,Core,,
Parkway Family Dentistry,Dr. Fojan Talaei,"Dr. Fojan Talaei, Dr. Shakeel Siddiqui, Dr. Susan Banga, Dr. Stephanie Harper",377 Burnhamthorpe Road East Ste 103,Mississauga,L5A 3Y1,Group,Growth,,
Erin Mills Smiles Dentistry,Dr. Marwan Hameed,"Dr. Marwan Hameed, Dr. Tamara Kamaluldeen, Dr. Mustafa Al Sharifi, Dr. Nadin Kurukchi, Dr. Ahmad Al Yasiri, Dr. Zaid Babahami, Dr. Ali Abdullah, Dr. Haidar El-muttalibi",5100 Erin Mills Parkway Unit 107,Mississauga,L5M 4Z5,Group,Scale,,
Mavis Dental Centre,Dr. Rajesh Arora,"Dr. Rajesh Arora, Dr. Tina Karishma",660 Eglinton Avenue West #12a,Mississauga,L5R 3V2,Prime,Core,,
River Run Dental,Dr. Karishma Phutela,"Dr. Karishma Phutela, Dr. Naina Baidya",1525 Bristol Road West,Mississauga,L5M 4Z1,Prime,Core,,
North Star Dentistry,Dr. Tamara Kamaluldeen,"Dr. Tamara Kamaluldeen, Dr. Mays Al-Saffar, Dr. Astrid Galvez Sforza, Dr. Joshua Sheih",714 Lakeshore Road East Unit 5,Mississauga,L5G 1J6,Group,Growth,,
aLo dental,Dr. Alvin Lo,Dr. Alvin Lo,2000 Credit Valley Road Unit 408,Mississauga,L5M 4N4,Prime,Core,,
Heartland Health,Dr. Tom Laurenza,"Dr. Tom Laurenza, Dr. Imran Khan, Dr. Sonia Talreja",775 Britannia Road West Unit 12,Mississauga,L5V 2Y1,Prime,Core,,
Revive Dental,Dr. Shruti Mehta,"Dr. Shruti Mehta, Dr. Parneet Kaur Dhillon",4040 Creditview Road Unit-3,Mississauga,L5C 3Y8,Prime,Core,,
City Centre Dentistry,Dr. Muneeb Ali,"Dr. Muneeb Ali, Dr. Maria Villanueva",1 City Centre Drive Unit #101,Mississauga,L5B 2G7,Prime,Core,,
Start Smiling Dentistry,Dr. Stefan Piszczek,Dr. Stefan Piszczek,755 Queensway East Suite 105,Mississauga,L4Y 4C5,Prime,Core,,
Dentistry by Dr. Sferlazza,Dr. Leny Sferlazza,"Dr. Leny Sferlazza, Dr. Rupa Bhatt, Dr. Ryan Campbell, Dr. Anamika Pethu Vijayan",3985 Grand Park Dr Suite H,Mississauga,L5B 0H8,Prime,Core,,
Dr. Bobby Brown and Associates,Dr. Bobby Brown,"Dr. Bobby Brown, Dr. Joe Bulger, Dr. Dianna Malkin",33 City Centre Drive,Mississauga,L5B 2N5,Group,Growth,,
Southcommon Dental Office,Dr. Marvin Goldstein,"Dr. Marvin Goldstein, Dr. Alan Vinegar, Dr. Amir Guorgui, Dr. Khalid Marzouk",2110 Burnhamthorpe Road West,Mississauga,L5L 5Z5,Group,Growth,,
Credit River Dental Centre,Dr. Samson Lee,Dr. Samson Lee,114 Lakeshore Rd E Suite 3,Mississauga,L5G 1E4,Prime,Core,,
Applewood Village Dentistry,Dr. Vipul Shukla,"Dr. Vipul Shukla, Dr. Sherin Shukla",1077 North Service Rd. Unit 10,Mississauga,L4Y 1A6,Prime,Core,,
Dentistry in Streetsville,Dr. Cyril Tahtadjian,"Dr. Cyril Tahtadjian, Dr. Anna Boyachchyan",100 Queen Street South Suite 101,Mississauga,L5M 1K8,Prime,Core,,
St. Lawrence Dentistry,Dr. Allan Louis Hawryluk,"Dr. Allan Louis Hawryluk, Dr. Mo Taheri",80 Port St. East Suite H,Mississauga,L5G 4V6,Prime,Core,,
High Point Family Dental,Dr. Janet Hyun-Sook Lee,Dr. Janet Hyun-Sook Lee,3415 Dixie Road Suite 301,Mississauga,L4Y,Prime,Core,,
Dentistry on Lakeshore,Dr. Rajiv Butany,Dr. Rajiv Butany,321 Lakeshore Road West Suite 325,Mississauga,L5H 1G9,Prime,Core,,
Dr. Dalia Henein,Dr. Dalia Henein,Dr. Dalia Henein,6970 Lisgar Dr.,Mississauga,L5N 8C8,Prime,Core,,
Mississauga Dental Partners,Dr. Joseph Yue Li,"Dr. Joseph Yue Li, Dr. John Naccarato, Dr. Robert W. Sansone",30 Eglinton Avenue West Unit 750,Mississauga,L5R 3E7,Group,Growth,,
Dentistry At Clarkson,Dr. Suzette Calimlim-Sauco,Dr. Suzette Calimlim-Sauco,960 Southdown Road Unit C3,Mississauga,L5J 2Y4,Prime,Core,,
Streetsville Dental,Dr. Timothy Mon-Dean Lee,"Dr. Timothy Mon-Dean Lee, Dr. Neda Amin",117 Queen St. South Suite 2,Mississauga,L5M 6B5,Prime,Core,,
Limelight Dental,Dr. Arun Narang,"Dr. Arun Narang, Dr. Venus Patti, Dr. Mina Makar, Dr. Shady Kolta",4188 Living Arts Drive Unit #2,Mississauga,L5B 0H7,Group,Growth,,
Dr. H. M. Glickman,Dr. Herschel Milton Glickman,Dr. Herschel Milton Glickman,3429 Fieldgate Drive,Mississauga,L4X 2J4,Prime,Core,,
Creditview Dental,Dr. Brian Michael Kaplansky,"Dr. Brian Michael Kaplansky, Dr. Gary Zlot",6085 Creditview Rd,Mississauga,L5V 2A8,Prime,Core,,
Churchill Meadows Dental Centre,Dr. Geeta Gupta,"Dr. Geeta Gupta, Dr. Pravir Rasikbhai Patel",5980 Churchill Meadows Blvd Suite 16,Mississauga,L5M 7M5,Prime,Core,,
Dr Ananthan and Associates,Dr. Noel Krishna Ananthan,"Dr. Noel Krishna Ananthan, Dr. R. Khorana",45 Queen Street South,Mississauga,L5M 1K5,Prime,Core,,
Lorne Park Dentistry,Dr. Brenda Thomson,"Dr. Brenda Thomson, Dr. Mi Seong D'Souza, Dr. Anne Tonisson",1150 Lorne Park Rd,Mississauga,L5H 3A5,Prime,Core,,
Terry Fox Way Dental,Dr. Safa Beidoun,"Dr. Safa Beidoun, Engracia U. Tubon-Salvador, Dalia Ahmed Madani",5390 Terry Fox Way Suite 5,Mississauga,L5V 0A5,Prime,Core,,
Dentistry on Living Arts,Dr. Violeta Sora,Dr. Violeta Sora,4070 Living Arts Dr Suite 3,Mississauga,L5B 4N3,Prime,Core,,
Kingsbury Dental Office,Dr. Bruno Cavatassi,Dr. Bruno Cavatassi,1891 Rathburn Road East Suite 13,Mississauga,L4W 3Z3,Prime,Core,,
The Tooth Corner on Derry Rd. E.,Dr. Hassan El-Awour,"Dr. Hassan El-Awour, Dr. Gagandeep Nanuan, Dr. Manveen Kaur, Dr. Thileeb Selvarajah, Dr. Shahram Daneshdoost",3530 Derry Rd E Suite 203,Mississauga,L4T,Group,Growth,,
Dr. Neil J. Gajjar,Dr. Neil Gajjar,"Dr. Neil Gajjar, Dr. Sanjay Uppal, Neeraj Pershad, Saima Rasool Shora, Sanjay Suri",735 Twain Avenue Suite 16,Mississauga,L5W 1X1,Group,Growth,,
Revita Dentistry,Dr. Afshan Ahmed,Dr. Afshan Ahmed,10 Beaumaris Drive Ste 12A,Brampton,L6T 5J6,Prime,Core,,
Smiles4U Family Dental,Dr. Joti Gill,Dr. Joti Gill,80 Pertosa Drive Suite 8,Brampton,L6X 5E9,Prime,Core,,
Our Dentistry - Brampton,Dr. Jasmine Lamba,"Dr. Jasmine Lamba, Dr. Vikhar Ahmed",1 Steeles Avenue East Ste 15,Brampton,L6W 4J6,Group (multi-loc),Growth,,
Our Dentistry - Goreway,Dr. Jasmine Lamba,"Dr. Jasmine Lamba, Dr. Vikhar Ahmed",9300 Goreway Drive B#105,Brampton,L6P 0C4,Group (multi-loc),Growth,,
Caledon Dental Centre,Dr. Kamaljeet Mundi,Dr. Kamaljeet Mundi,12570 Kennedy Road Unit 10,Caledon,L7C 2H1,Prime,Core,,
Smiles on Finch Dentistry,Dr. Bhaminy Mohendran,"Dr. Bhaminy Mohendran, Dr. Dolly Daniel, Dr. Anvitha Devisetty",40 Finchgate Boulevard Suite 114,Brampton,L6T 3J1,Prime,Core,,
Magnolia Dental Brampton,Dr. Shelly Bajaj,"Dr. Shelly Bajaj, Dr. Mohamed Ibrahim, Dr. Shazia Gul",45 Gateway Boulevard Ste 7,Brampton,L6T 0J6,Group (multi-loc),Growth,,
County Court Dentistry,Dr. Jaspreet Mann,"Dr. Jaspreet Mann, Dr. Agnes K. Lee, Dr. Palvi Gupta",201 County Court Boulevard,Brampton,L6W 4L2,Prime,Core,,
Brampton Dental Arts,Dr. Azeem Sheikh,Dr. Azeem Sheikh,105 Father Tobin Rd Suite 7,Brampton,L6R 0W9,Prime,Core,,
Drs. Asadi Lewis and Associates,Dr. Amal Asadi,"Dr. Amal Asadi, Dr. Ronnie Lewis, Dr. Gus Spillas, Dr. Menashe Levi, Dr. Alfio Manzon",25 Peel Center Dr Suite 387,Brampton,L6T 3R5,Group,Growth,,
Springdale Dental Centre,Dr. Stuart Keshen,"Dr. Stuart Keshen, Dr. Joseph Hasso",630 Peter Robertson Blvd. Suite 12,Brampton,L6R 1T4,Prime,Core,,
Dr. Elizabeth Dimovski & Associates,Dr. Elizabeth Dimovski,"Dr. Elizabeth Dimovski, Dr. Safa Beidoun, Annabel Mary Helen Braganza",2 Philosophers Trail,Brampton,L6S 3V2,Group,Growth,,
Dr. Dogra Dentistry,Dr. Arpita Dogra,"Dr. Arpita Dogra, Dr. Sundeep Dogra",7910 Hurontario Street Suite 17,Brampton,L6Y 0P6,Prime,Core,,
Peel Village Dental,Dr. Julianne Proniuk,Dr. Julianne Proniuk,160 Main Street South,Brampton,L6Y 1N2,Prime,Core,,
Heart Lake Dental Care,Dr. Janet Ho,"Dr. Janet Ho, Dr. Hanin Abdullah, Dr. Jody Lee, Dr. Jane Yip, Dr. Dalia Gharib",180 Sandlewood Pkwy East Suite F2,Brampton,L6Z 1Y4,Group,Growth,,
Smilemakers Dental Care,Dr. Seema Shetty,Dr. Seema Shetty,36 Vodden St. East Suite 105,Brampton,L6V 4H4,Prime,Core,,
Meadow Dental Care,Dr. Jane Yip,"Dr. Jane Yip, Dr. Shilpa Vij Sharma, Dr. Hanin Abdullah, Dr. Anumeet Virdi, Dr. Mahmoud El Shaer",10671 Chinguacousy Rd,Brampton,L7A 0N5,Group,Growth,,
Main Street Dental Office,Dr. Arun Arora,"Dr. Arun Arora, Dr. Janica Manchanda",320 Main St. North Suite 9,Brampton,L6V 4A3,Prime,Core,,
Salvaggio Dentistry,Dr. Joseph Salvaggio,"Dr. Joseph Salvaggio, Dr. Arif Virani",9025 Airport Road Unit 2,Brampton,L6S 0B8,Prime,Core,,
Dr. Sonia Sharma Dental Centre,Dr. Sonia Sharma,"Dr. Sonia Sharma, Dr. Sukhjeevan Chatha",3078 Mayfield Rd Suite 12,Brampton,L6Z 0E3,Prime,Core,,
Bramalea Family and Cosmetic Dentistry,Dr. Kalex Panchalingam,Dr. Kalex Panchalingam,50 Peel Centre Dr Suite 106,Brampton,L6T 0E2,Prime,Core,,
Chinguacousy Dentistry,Dr. Jashandeep Kaur,Dr. Jashandeep Kaur,8975 Chinguacousy Rd Suite 5,Brampton,L6Y 0J2,Prime,Core,,
Derry Village Dental,Dr. Pooran Ghai,"Dr. Pooran Ghai, Dr. Rakhi Palta, Dr. Thomas Yoon",7070 Saint Barbara Blvd Suite 14,Brampton,L5W 0E6,Prime,Core,,
Mayfield Dental,Dr. Nibal Kellow Pasat,Dr. Nibal Kellow Pasat,3068 Mayfield Road Suite 6,Brampton,L6Z 0E3,Prime,Core,,
Lakeridge Dental,Dr. Charles Blumenfeld,"Dr. Charles Blumenfeld, Dr. David Koven, Dr. Rosie Leigh",456 Vodden Street East,Brampton,L6S 5V1,Prime,Core,,
Avondale Dental Clinic,Dr. Alan David Bobkin,"Dr. Alan David Bobkin, Dr. Anit Sharma",50 Avondale Blvd,Brampton,L6T 1H3,Prime,Core,,
S M Springdale Dental Centre,Dr. Sashpal Sandhu,"Dr. Sashpal Sandhu, Jaspreet Kaur Birdi, Navneet Kaur Toor",2260 Bovaird Dr Suite 119,Brampton,L6R 3J5,Prime,Core,,
Cottrelle Dentistry,Dr. Jaspal Bhandal,Dr. Jaspal Bhandal,3975 Cottrelle Blvd Suite 11,Brampton,L6P 2P9,Prime,Core,,
Expressions Dental,Dr. Navdeep Singh Bajwa,"Dr. Navdeep Singh Bajwa, Dr. Jeema Madan Bajwa",10990 Chinguacousy Road Suite 7,Brampton,L7A 0P1,Prime,Core,,
Dentistry on Hurontario,Dr. Romy R. Chopra,"Dr. Romy R. Chopra, Dr. Michelle Shuk-Mui Lee",10886 Hurontario St. Suite A15,Brampton,L7A 3R9,Prime,Core,,
Smile Design Dental Care - Hamilton,Dr. Safa Shawkat,"Dr. Safa Shawkat, Dr. Hind Georgie",183 Hughson Street South Unit 4,Hamilton,L8N 2B6,Group (multi-loc),Scale,,
Burlington Family Dental Centre,Dr. Emma D'Souza,Dr. Emma D'Souza,2025 William O'Connell Boulevard 13A,Burlington,L7M 4E4,Prime,Core,,
MapleLeaf Smile Dentistry - Areej,Dr. Rawa Al-Jawad,"Dr. Rawa Al-Jawad, Dr. Motaz Elghalayini, Dr. Ammar Saleem, Dr. Aseel Abdulghani",90 Wellington Street North,Hamilton,L8R 1N1,Group (multi-loc),Scale,,
Dr. Tupman Family Dentistry - Hamilton,Dr. Lowell Tupman,"Dr. Lowell Tupman, Dr. Renata Durkot, Dr. Brian Grant, Dr. Mohammed Abdul-Khaliq",279A Queenston Road,Hamilton,L8K 1G9,Group,Growth,,
Smile Design Dental Care - Stoney Creek East,Dr. Safa Shawkat,"Dr. Safa Shawkat, Dr. Hind Georgie, Dr. Mena Sedrak, Dr. Nancy Yousef, Dr. Raghd Georgie",141 King Street East,Hamilton,L8G 1L5,Group (multi-loc),Scale,,
The Dental Place,Dr. Prathana Davla,Dr. Prathana Davla,642 Upper James Street,Hamilton,L9C 2Z2,Prime,Core,,
Smile Design Dental Care - Binbrook,Dr. Safa Shawkat,"Dr. Safa Shawkat, Dr. Raghd Georgie, Dr. Mena Sedrak, Dr. Hind Georgie",2537 Hamilton Regional Road 56 Unit B4,Binbrook,L0R 1C0,Group (multi-loc),Scale,,
Smile Design Dental Care - Stoney Creek Winona,Dr. Safa Shawkat,"Dr. Safa Shawkat, Dr. Mena Sedrak, Dr. Nancy Yousef, Dr. Sarah Al-Juboori",1338 South Service Road Unit 4,Stoney Creek,L8E 5C5,Group (multi-loc),Scale,,
Jackson Square Dental Centre,Dr. Samer Akkad,"Dr. Samer Akkad, Dr. Ahmad Kassem, Dr. Subhi Alnahas, Dr. Jennifer Mak, Dr. Carly Kaminski",2 King Street West Unit 605,Hamilton,L8P 1A1,Group,Growth,,
Dentistry on Parkdale,Dr. Karen Ho,Dr. Karen Ho,21 Parkdale Avenue South,Hamilton,L8H 1B1,Prime,Core,,
Orchard Family Dentistry,Dr. Dominic Ling,"Dr. Dominic Ling, Dr. David Hu",5220 Dundas Street Unit D6,Burlington,L7L 0J4,Prime,Core,,
Bronte Oak Dental,Dr. Roya Khoshsar,Dr. Roya Khoshsar,2486 Old Bronte Road,Oakville,L6M 0Y4,Prime,Core,,
Magnolia Dental,Dr. Shelly Bajaj,"Dr. Shelly Bajaj, Dr. Sapandip Chandi, Dr. Shazia Gul, Dr. Rabiya Khan, Dr. Urooj Arif",16 Clappison Avenue Unit d2-04,Waterdown,L8B 0Y2,Group (multi-loc),Growth,,
Queen King Dental Clinic,Dr. Simali Garach,Dr. Simali Garach,17 Queen Street South,Hamilton,L8P 3R4,Prime,Core,,
Rosewood Dentistry,Dr. Zeena Shaya,Dr. Zeena Shaya,1955 King Street East Ste #201,Hamilton,L8K 1W2,Prime,Core,,
Cranberry Hill Dentistry,Dr. Aaron Langdon,Dr. Aaron Langdon,477 Dundas Street East Unit 1,Waterdown,L0R 2H8,Prime,Core,,
Harbourview Dental,Dr. Omar Abdulghafoor,"Dr. Omar Abdulghafoor, Dr. Firas Elias, Dr. Ruba Al-Luaibi",1455 Lakeshore Road Suite G15,Burlington,L7S 2J1,Prime,Core,,
Great Lakes Dentistry,Dr. Gurpreet Mohi,Dr. Gurpreet Mohi,3465 Rebecca Street Ste #105,Oakville,L6L 6W2,Prime,Core,,
Dentology,Dr. Rajeshwari Javali,"Dr. Rajeshwari Javali, Dr. Vikram Chugh, Dr. Prerna Dahiya",777 Guelph Line Ste C5,Burlington,L7R 3N2,Prime,Core,,
Westoak Dental Centre,Dr. Mohammed Abdullah Al Sayyab,"Dr. Mohammed Abdullah Al Sayyab, Dr. Dhafira Majed",2690 Westoak Trails Boulevard Ste 6,Oakville,L6M 3T3,Prime,Core,,
DentalVille Family Dentistry,Dr. Farah Nafie,Dr. Farah Nafie,2475 Old Bronte Road,Oakville,L6M 5S7,Prime,Core,,
MapleLeaf Smile Dentistry - Aya,Dr. Rawa Al-Jawad,"Dr. Rawa Al-Jawad, Dr. Motaz Elghalayini, Dr. Ammar Saleem, Dr. Mina Farag",399 Greenhill Avenue Ste 9,Hamilton,L8K 6N5,Group (multi-loc),Scale,,
Teeth R Us Dental Centre,Dr. Dhara Patel,"Dr. Dhara Patel, Dr. Faizan Ahmed",3101 Appleby Line Unit 2,Burlington,L7M 0V7,Prime,Core,,
Shoreline Dentistry,Dr. Muzammil Zaidi,Dr. Muzammil Zaidi,11 Bronte Road Unit 30,Oakville,L6L 1A7,Prime,Core,,
MapleLeaf Smile Dentistry - Upper Wentworth,Dr. Rawa Al-Jawad,"Dr. Rawa Al-Jawad, Dr. Ammar Saleem, Dr. Aseel Abdulghani, Dr. Mohammed Hassan",323 Upper Wentworth Street,Hamilton,L9A 1C1,Group (multi-loc),Scale,,
Dentistree Family Dental Clinic - Hemlock,Dr. Bosky Singh,Dr. Bosky Singh,1340 Hemlock Road,Ottawa,K1K 4E4,Group (multi-loc),Growth,,
Palladium Dental,Dr. Shadi Halim,"Dr. Shadi Halim, Dr. Nikki van der Wal, Dr. Alexandra Negotei",308 Palladium Drive Suite 100,Kanata,K2V 1A1,Prime,Core,,
Dentistree Family Dental Clinic,Dr. Bosky Singh,Dr. Bosky Singh,1303 Richmond Road,Ottawa,K2B 7Y4,Group (multi-loc),Growth,,
Horizons Dental Care,Dr. Gustavo Azevedo,"Dr. Gustavo Azevedo, Dr. Hamid Al-Ani, Dr. Aaron Quach, Dr. Isha Moza",2255 Carling Avenue Ste 203,Ottawa,K2B 7Z5,Group,Growth,,
Bytown Dental House,Dr. Roland Eid,"Dr. Roland Eid, Dr. Erik Holm",22 McArthur Avenue,Ottawa,K1L 6R2,Prime,Core,,
Villanova Dental Studio - Terry Fox,Dr. Ami Barakat,"Dr. Ami Barakat, Dr. Patricia Pappas, Dr. Jason Palleck, Dr. Bilal Mammah",471 Terry Fox Drive Unit 10,Ottawa,K2T 0A3,Group (multi-loc),Scale,,
Villanova Dental Studio - Stittsville,Dr. Ami Barakat,"Dr. Ami Barakat, Dr. Bilal Mammah, Dr. Swati Shinde, Dr. Ashan Mahmood, Dr. Gillian Espie",1261 Stittsville Main Street Ste 9,Stittsville,K2S 2E4,Group (multi-loc),Scale,,
Orleans Dental Arts,Dr. Gorge Necolas,"Dr. Gorge Necolas, Dr. Sandesh Hegde, Dr. Bassel Jabbour",4473 Innes Road Unit 103,Orleans,K4A 3J7,Group (multi-loc),Growth,,
Shiff Family Dentistry,Dr. Stanley Shiff,"Dr. Stanley Shiff, Dr. Dana Shiff",225 Metcalfe Street Suite 503,Ottawa,K2P 1P9,Prime,Core,,
613 Dental,Dr. Gorge Necolas,"Dr. Gorge Necolas, Dr. Sandesh Hegde, Dr. Bassel Jabbour",940 Montreal Road,Ottawa,K1K 4E5,Group (multi-loc),Growth,,
Bells Corners Dental Studio,Dr. Ryan Kirschner,Dr. Ryan Kirschner,2150 Robertson Road Unit 9,Nepean,K2H 9S1,Prime,Core,,
Willowbrook Dental Studio,Dr. Erik Holm,"Dr. Erik Holm, Dr. Roland Eid",150 Blanca St Ste 1,Gloucester,K1V 2V6,Prime,Core,,
McAllister Dentistry,Dr. McAllister,Dr. McAllister,2016 Ogilvie Road Unit #3,Ottawa,K1J 7N9,Prime,Core,,
Dental on Booth,Dr. Tina Ngoc Mai,Dr. Tina Ngoc Mai,341 Booth St.,Ottawa,K1R 7K1,Prime,Core,,
Chapel Hill Dental,Dr. Sally Ing,"Dr. Sally Ing, Dr. Katerine Muzar",3400 Innes Road,Orleans,K1W 0G1,Prime,Core,,
Aqua Dental,Dr. Huda Abu-Jarad,Dr. Huda Abu-Jarad,3091 Strandherd Drive unit 9,Ottawa,K2G 4R9,Prime,Core,,
Florence Dentistry,Dr. Magdalena Lysik,"Dr. Magdalena Lysik, Dr. Edit Dragoi, Dr. Tanya Mohammed",6 Florence Street,Ottawa,K2P 0W7,Prime,Core,,
Dr Pamela Li,Dr. Pamela Li,Dr. Pamela Li,267 O'Connor Street Suite 227,Ottawa,K2P 1V3,Prime,Core,,
MYsmile Dental,Dr. Charles Kamel,Dr. Charles Kamel,525 Legget Drive,Ottawa,K2K 2W2,Prime,Core,,
Innes Dental Health Group,Dr. Jean-Pierre Khouri,"Dr. Jean-Pierre Khouri, Dr. Donald Ball",1730 St-Laurent Blvd. Suite 110,Ottawa,K1G 5L1,Prime,Core,,
Dr Paul Greenacre Dentistry,Dr. Paul George Greenacre,Dr. Paul George Greenacre,152 Gloucester Street Suite 100,Ottawa,K2P 0A6,Prime,Core,,
